Year,Country,alcoholdrug,demography,gdp,happiness,internet,landarea,lifeexpectancy,medianage,mentaldisorders,pollution,populationdensity,suicides
2013,Switzerland,4.2,8088370.0,59036.0,7.57,86.3,39516.03,82.7,41.0,15.56,11.82,204.69,1222.0
2013,Syria,0.8,21495830.0,4124.0,3.46,26.2,183630.0,63.8,20.2,15.05,41.91,117.06,343.0
2013,Tajikistan,2.8,8136612.0,3471.0,5.12,16.0,138790.0,68.9,20.4,10.57,49.55,58.63,324.0
2013,Tanzania,1.8,49253650.0,2372.0,3.66,4.4,885800.0,63.0,16.3,12.32,29.36,55.6,2116.0
2013,Thailand,2.0,69578600.0,14562.0,6.2,28.9,510890.0,77.1,35.7,11.58,31.17,136.19,5075.0
2013,Togo,0.8,7106238.0,1292.0,3.77,4.5,54390.0,58.7,18.0,12.17,29.57,130.65,716.0
2013,Trinidad and Tobago,2.4,1440731.0,30987.0,6.19,59.9,5130.0,74.0,31.7,13.74,27.16,280.84,147.0
2013,Tunisia,0.8,11300284.0,10898.0,5.13,43.8,155360.0,75.7,28.9,15.16,35.65,72.74,359.0
2013,Turkey,0.8,76576120.0,18788.0,5.51,46.3,769630.0,76.3,28.2,13.93,42.06,99.5,1710.0
2013,Turkmenistan,3.3,5560099.0,19751.0,5.79,9.6,469930.0,68.7,23.9,9.99,23.72,11.83,383.0
2013,Uganda,1.3,35273570.0,1889.0,4.24,5.1,200520.0,59.8,14.3,14.5,47.72,175.91,1866.0
2013,Ukraine,3.5,45307104.0,10404.0,3.96,41.0,579400.0,71.9,38.8,11.52,21.53,78.2,10250.0
2013,United Arab Emirates,1.4,8751853.0,70791.0,6.57,88.0,71020.0,78.9,28.1,11.8,39.61,123.23,689.0
2013,United Kingdom,5.4,64302296.0,35618.0,6.52,89.8,241930.0,80.9,38.8,13.82,11.62,265.79,5711.0
2013,United States,5.7,319375170.0,50863.0,6.86,71.4,9147420.0,79.0,36.4,15.41,8.73,34.91,42870.0
2013,Uruguay,3.1,3381187.0,18589.0,6.63,57.7,175020.0,77.2,33.7,13.06,10.46,19.32,537.0
2013,Uzbekistan,2.3,29963220.0,8482.0,5.97,26.8,440555.0,70.0,24.5,10.16,30.81,68.0,2661.0
2013,Venezuela,2.0,29838022.0,21429.0,5.57,54.9,882050.0,73.2,25.6,12.9,20.43,33.83,735.0
2013,Vietnam,1.8,90267736.0,5200.0,5.08,38.5,310070.0,73.8,28.9,9.18,36.84,288.0,6762.0
2013,Yemen,0.7,26984008.0,4165.0,2.98,20.0,527970.0,67.5,17.2,15.33,53.0,51.11,1425.0
2013,Zambia,1.9,15234976.0,3419.0,4.84,4.8,743390.0,59.9,15.7,11.83,29.11,20.49,1355.0
2013,Zimbabwe,2.3,13555420.0,1604.0,3.7,15.5,386850.0,57.5,16.9,10.72,23.11,35.04,2479.0
