alcoholdrug,gdp,happiness,internet,lifeexpectancy,medianage,mentaldisorders,pollution,populationdensity
1.3,5851.0,4.98,29.0,70.8,22.1,11.67,22.75,323.1
4.0,21837.0,5.75,62.0,76.7,37.2,9.72,26.37,126.16
4.0,25133.0,5.16,55.2,80.5,41.0,17.13,10.36,115.33
0.9,155533.0,6.61,69.0,78.9,30.2,12.73,81.27,157.02
2.5,17174.0,5.08,40.0,74.4,38.7,10.41,17.64,87.88
4.5,23130.0,5.54,58.0,70.4,37.1,10.52,19.19,8.75
3.5,1449.0,3.47,7.0,63.3,17.7,12.84,42.68,428.74
0.8,48470.0,6.5,47.5,76.2,25.9,13.0,82.42,14.03
0.8,2123.0,3.65,9.8,65.3,17.1,10.73,35.94,66.88
2.5,12463.0,5.1,42.2,74.8,41.0,10.7,31.03,87.14
0.8,1479.0,4.51,0.9,54.6,17.2,12.26,18.74,91.61
3.0,22483.0,5.94,74.4,76.0,36.6,10.54,21.77,112.37
3.4,26004.0,5.97,67.3,80.0,40.5,10.85,19.51,102.57
3.3,11838.0,3.66,34.0,60.7,23.9,11.44,26.56,43.23
3.3,31600.0,6.15,67.1,82.2,39.5,16.8,12.04,93.54
1.5,8918.0,4.36,10.5,73.4,29.5,10.95,31.23,337.21
3.5,42079.0,7.43,92.8,81.8,39.7,14.09,7.39,23.25
4.2,58686.0,7.49,85.2,82.6,40.7,15.6,13.05,200.2
0.8,5979.0,2.69,22.5,73.3,21.0,14.89,41.12,123.79
2.9,3111.0,4.97,13.0,68.1,20.0,10.6,54.32,56.09
1.8,2227.0,3.85,3.2,61.0,16.4,12.35,28.73,52.4
2.0,13318.0,6.23,23.7,76.4,34.9,11.68,31.61,134.5
0.8,1227.0,2.84,3.5,57.9,17.9,12.19,30.85,124.08
2.4,29745.0,6.17,55.2,73.3,30.7,13.69,29.85,276.81
0.8,10437.0,5.25,39.1,75.5,28.2,15.15,33.87,71.01
0.8,17919.0,4.89,43.1,74.9,27.5,13.96,40.55,96.38
3.5,16518.0,5.39,5.0,68.6,23.4,10.05,25.5,11.41
1.3,1890.0,3.71,4.6,58.0,14.1,14.7,47.06,166.05
3.4,10333.0,4.71,28.7,71.4,38.5,11.61,23.97,78.56
1.4,65307.0,6.62,78.0,78.5,26.9,11.74,39.19,120.74
5.2,34971.0,6.92,85.4,80.8,38.6,13.66,12.85,261.59
5.5,49675.0,7.25,69.7,78.8,36.2,15.75,9.74,34.31
3.1,17211.0,6.44,51.4,77.0,33.2,12.97,11.47,19.21
2.5,7396.0,5.94,18.6,69.6,23.8,10.23,33.99,65.94
2.1,17746.0,6.55,40.2,72.9,25.0,12.88,22.03,32.99
1.8,4786.0,5.02,35.1,73.7,28.1,9.13,38.49,281.88
